tsne_1,tsne_2,method,gas_class
-23.469696,59.500427,Best Traditional ML,1
-90.920364,12.8546505,Best Traditional ML,1
-92.754845,24.432392,Best Traditional ML,1
-90.919235,12.850119,Best Traditional ML,1
-91.52927,24.589106,Best Traditional ML,1
-41.215424,20.945469,Best Traditional ML,1
-93.09762,24.28268,Best Traditional ML,1
-87.419914,0.65482813,Best Traditional ML,1
-91.06493,13.352044,Best Traditional ML,1
-92.39688,23.8134,Best Traditional ML,1
-90.93015,12.886939,Best Traditional ML,1
-92.18106,24.012026,Best Traditional ML,1
-88.48217,3.5776196,Best Traditional ML,1
-91.78643,23.4749,Best Traditional ML,1
-23.422916,69.80898,Best Traditional ML,1
-22.385098,59.323166,Best Traditional ML,1
-92.42208,23.79729,Best Traditional ML,1
-92.93271,25.058363,Best Traditional ML,1
-91.8902,24.472322,Best Traditional ML,1
-92.11002,24.024616,Best Traditional ML,1
-23.554638,69.61548,Best Traditional ML,1
-92.1659,23.363747,Best Traditional ML,1
-40.95943,21.979067,Best Traditional ML,1
-92.44905,21.035757,Best Traditional ML,1
-92.02507,23.94512,Best Traditional ML,1
-93.07923,24.022877,Best Traditional ML,1
-23.6372,69.37876,Best Traditional ML,1
-92.09239,24.707104,Best Traditional ML,1
-93.28835,25.307213,Best Traditional ML,1
-23.284056,70.13335,Best Traditional ML,1
-92.37215,23.025124,Best Traditional ML,1
-22.420233,59.328297,Best Traditional ML,1
-92.44797,21.05805,Best Traditional ML,1
-66.60231,-0.5346897,Best Traditional ML,1
-14.523477,46.183598,Best Traditional ML,1
-48.148598,19.407923,Best Traditional ML,1
-45.76386,19.556742,Best Traditional ML,1
-48.73241,19.911226,Best Traditional ML,1
-40.62715,22.281641,Best Traditional ML,1
-47.920586,19.375757,Best Traditional ML,1
-47.169926,20.610157,Best Traditional ML,1
-50.317566,20.973131,Best Traditional ML,1
-43.516872,23.205446,Best Traditional ML,1
-94.20496,27.110899,Best Traditional ML,1
-22.266079,71.58784,Best Traditional ML,1
